l,eta,error_type,pth,stderr,cd_type,noise_model
5,0.5,TOTAL_PY_CORR,0.116,0,SC,code_cap
5,0.5,TOTAL_PY_CORR,0.111,0,XZZXonSqu,code_cap
5,0.5,TOTAL_PY_CORR,0.108,0,ZXXZonSqu,code_cap
6,0.5,TOTAL_PY_CORR,0.092,0,SC,code_cap
6,0.5,TOTAL_PY_CORR,0.096,0,XZZXonSqu,code_cap
6,0.5,TOTAL_PY_CORR,0.088,0,ZXXZonSqu,code_cap
2,0.75,TOTAL_PY_CORR,0.167,0,SC,code_cap
2,1,TOTAL_PY_CORR,0.16,0,SC,code_cap
2,2,TOTAL_PY_CORR,0.133,0,SC,code_cap
2,3,TOTAL_PY_CORR,0.126,0,SC,code_cap
2,5,TOTAL_PY_CORR,0.112,0,SC,code_cap
2,7,TOTAL_PY_CORR,0.112,0,SC,code_cap
3,0.75,TOTAL_PY_CORR,0.176,0,SC,code_cap
3,1,TOTAL_PY_CORR,0.181,0,SC,code_cap
3,2,TOTAL_PY_CORR,0.1814,0,SC,code_cap
3,3,TOTAL_PY_CORR,0.169,0,SC,code_cap
3,5,TOTAL_PY_CORR,0.155,0,SC,code_cap
3,7,TOTAL_PY_CORR,0.147,0,SC,code_cap
4,0.75,TOTAL_PY_CORR,0.168,0,SC,code_cap
4,1,TOTAL_PY_CORR,0.171,0,SC,code_cap
4,2,TOTAL_PY_CORR,0.205,0,SC,code_cap
4,3,TOTAL_PY_CORR,0.195,0,SC,code_cap
4,5,TOTAL_PY_CORR,0.181,0,SC,code_cap
4,7,TOTAL_PY_CORR,0.185,0,SC,code_cap
5,0.75,TOTAL_PY_CORR,0.119,0,SC,code_cap
5,1,TOTAL_PY_CORR,0.142,0,SC,code_cap
5,2,TOTAL_PY_CORR,0.195,0,SC,code_cap
5,3,TOTAL_PY_CORR,0.207,0,SC,code_cap
5,5,TOTAL_PY_CORR,0.201,0,SC,code_cap
5,7,TOTAL_PY_CORR,0.197,0,SC,code_cap
6,0.75,TOTAL_PY_CORR,0.105,0,SC,code_cap
6,1,TOTAL_PY_CORR,0.118,0,SC,code_cap
6,2,TOTAL_PY_CORR,0.186,0,SC,code_cap
6,3,TOTAL_PY_CORR,0.231,0,SC,code_cap
6,5,TOTAL_PY_CORR,0.235,0,SC,code_cap
6,7,TOTAL_PY_CORR,0.228,0,SC,code_cap
2,0.5,TOTAL_PY_CORR,0.176,0,XZZXonSqu,code_cap
2,0.75,TOTAL_PY_CORR,0.176,0,XZZXonSqu,code_cap
2,1,TOTAL_PY_CORR,0.185,0,XZZXonSqu,code_cap
2,2,TOTAL_PY_CORR,0.202,0,XZZXonSqu,code_cap
2,3,TOTAL_PY_CORR,0.217,0,XZZXonSqu,code_cap
2,5,TOTAL_PY_CORR,0.234,0,XZZXonSqu,code_cap
2,7,TOTAL_PY_CORR,0.252,0,XZZXonSqu,code_cap
2,0.5,TOTAL_PY_CORR,0.176,0,ZXXZonSqu,code_cap
2,0.75,TOTAL_PY_CORR,0.176,0,ZXXZonSqu,code_cap
2,1,TOTAL_PY_CORR,0.185,0,ZXXZonSqu,code_cap
2,2,TOTAL_PY_CORR,0.202,0,ZXXZonSqu,code_cap
2,3,TOTAL_PY_CORR,0.217,0,ZXXZonSqu,code_cap
2,5,TOTAL_PY_CORR,0.234,0,ZXXZonSqu,code_cap
2,7,TOTAL_PY_CORR,0.252,0,ZXXZonSqu,code_cap
3,0.5,TOTAL_PY_CORR,0.165,0,XZZXonSqu,code_cap
3,0.75,TOTAL_PY_CORR,0.158,0,XZZXonSqu,code_cap
3,1,TOTAL_PY_CORR,0.154,0,XZZXonSqu,code_cap
3,2,TOTAL_PY_CORR,0.154,0,XZZXonSqu,code_cap
3,3,TOTAL_PY_CORR,0.158,0,XZZXonSqu,code_cap
3,5,TOTAL_PY_CORR,0.163,0,XZZXonSqu,code_cap
3,7,TOTAL_PY_CORR,0.169,0,XZZXonSqu,code_cap
3,0.5,TOTAL_PY_CORR,0.161,0,ZXXZonSqu,code_cap
3,0.75,TOTAL_PY_CORR,0.165,0,ZXXZonSqu,code_cap
3,1,TOTAL_PY_CORR,0.165,0,ZXXZonSqu,code_cap
3,2,TOTAL_PY_CORR,0.285,0,ZXXZonSqu,code_cap
