l,eta,error_type,CD_type,noise_model,pth,stderr
5,10.0,Z_MEM,ZXXZonSqu,circuit_level,0.0050882207530807,4.705923085399697e-06
5,10.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0051496291762275,4.564574437963079e-06
3,25.0,X_MEM,ZXXZonSqu,circuit_level,0.0121073393285113,2.4074802323549826e-05
3,25.0,Z_MEM,ZXXZonSqu,circuit_level,0.0071553035053137,4.61153715283889e-06
3,25.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0075398123805425,3.939401119853961e-06
5,25.0,X_MEM,ZXXZonSqu,circuit_level,0.0147400632091302,1.506594015419724e-05
5,25.0,Z_MEM,ZXXZonSqu,circuit_level,0.0052714772520906,4.991950296918011e-06
5,25.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0053454446019256,4.785630364043937e-06
3,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0122539935767463,2.3261823250104785e-05
3,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.0072297158828709,4.547017619158252e-06
3,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0076347089538738,3.922811548585928e-06
5,50.0,X_MEM,ZXXZonSqu,circuit_level,0.0148168091914745,1.0184362769988018e-05
5,50.0,Z_MEM,ZXXZonSqu,circuit_level,0.0053325877475273,5.063032119221136e-06
5,50.0,TOTAL_MEM,ZXXZonSqu,circuit_level,0.0053992198128971,4.850099537810449e-06
2,0.5,X_MEM_PY,SC,circuit_level,0.0084693770589056,1.8810008108257888e-06
2,0.5,Z_MEM_PY,SC,circuit_level,0.0086504967073009,2.013763389920577e-06
2,0.5,TOTAL_MEM_PY,SC,circuit_level,0.0085472465418727,1.3862478071051295e-06
3,0.5,X_MEM_PY,SC,circuit_level,0.0089549152675831,3.480487541697063e-06
3,0.5,Z_MEM_PY,SC,circuit_level,0.0072151747571487,2.277524950845071e-06
3,0.5,TOTAL_MEM_PY,SC,circuit_level,0.0076382310798689,1.8663832313520456e-06
4,0.5,X_MEM_PY,SC,circuit_level,0.0095330986826254,6.480198717222515e-06
4,0.5,Z_MEM_PY,SC,circuit_level,0.0061748799990692,2.639924785021653e-06
4,0.5,TOTAL_MEM_PY,SC,circuit_level,0.0064488729940025,2.6752263041089085e-06
5,0.5,X_MEM_PY,SC,circuit_level,0.009955418097489,6.719408121775655e-06
5,0.5,Z_MEM_PY,SC,circuit_level,0.0054268962202265,3.163480194514786e-06
5,0.5,TOTAL_MEM_PY,SC,circuit_level,0.0055710549044791,2.9820684436065736e-06
6,0.5,X_MEM_PY,SC,circuit_level,0.0103299086198524,7.779470839871679e-06
6,0.5,Z_MEM_PY,SC,circuit_level,0.0048403321939753,3.774512035649918e-06
6,0.5,TOTAL_MEM_PY,SC,circuit_level,0.0049163151301892,3.525900294999705e-06
2,5.0,X_MEM_PY,SC,circuit_level,0.0085447097942374,2.0975114150444246e-06
2,5.0,Z_MEM_PY,SC,circuit_level,0.0115369826209909,9.874188817047335e-06
2,5.0,TOTAL_MEM_PY,SC,circuit_level,0.008671309776261,1.7863765733331683e-06
3,5.0,X_MEM_PY,SC,circuit_level,0.0099966557610867,2.068125656118125e-06
3,5.0,Z_MEM_PY,SC,circuit_level,0.0095406631522269,2.5150409366760423e-06
3,5.0,TOTAL_MEM_PY,SC,circuit_level,0.0098361904966339,1.5336478321403069e-06
4,5.0,X_MEM_PY,SC,circuit_level,0.010912447202511,5.943603935812394e-06
4,5.0,Z_MEM_PY,SC,circuit_level,0.0081272990968087,3.5708885346271035e-06
4,5.0,TOTAL_MEM_PY,SC,circuit_level,0.0090688027087091,2.8481562545816406e-06
