l,eta,error_type,CD_type,noise_model,pth,stderr
4,0.5,Z_MEM_PY,SC,circuit_level,0.006868607066275168,1.18977615887421e-05
4,0.5,TOTAL_MEM_PY,SC,circuit_level,0.007258502180148216,1.1175475674320061e-05
5,0.5,Z_MEM_PY,SC,circuit_level,0.005994421146824754,1.6836822919700745e-05
5,0.5,TOTAL_MEM_PY,SC,circuit_level,0.006211248758846973,1.676526909053963e-05
6,0.5,X_MEM_PY,SC,circuit_level,0.01106791473936575,9.629818573777223e-05
6,0.5,Z_MEM_PY,SC,circuit_level,0.005318236984820863,2.4884659242309787e-05
6,0.5,TOTAL_MEM_PY,SC,circuit_level,0.005418110565629993,2.150756629455588e-05
2,10.0,X_MEM_PY,SC,circuit_level,0.007896835023437762,5.791339379535809e-06
2,10.0,TOTAL_MEM_PY,SC,circuit_level,0.00789662956022893,5.7532537813305855e-06
3,10.0,X_MEM_PY,SC,circuit_level,0.010191317909204503,6.277235242106622e-06
3,10.0,TOTAL_MEM_PY,SC,circuit_level,0.010193515286838279,6.175959846648668e-06
4,10.0,X_MEM_PY,SC,circuit_level,0.011609590066351736,6.789368220201793e-06
4,10.0,Z_MEM_PY,SC,circuit_level,0.01878682850150099,9.331625085852212e-05
4,10.0,TOTAL_MEM_PY,SC,circuit_level,0.011622244038553489,6.63233895464086e-06
5,10.0,X_MEM_PY,SC,circuit_level,0.012569565692548487,1.1316938933791719e-05
5,10.0,TOTAL_MEM_PY,SC,circuit_level,0.012606604528586042,1.0324430662852407e-05
6,10.0,X_MEM_PY,SC,circuit_level,0.013350762565438826,8.030642644080432e-06
6,10.0,Z_MEM_PY,SC,circuit_level,0.01391355562551328,2.4388287400089646e-05
6,10.0,TOTAL_MEM_PY,SC,circuit_level,0.013370646626344814,7.882283043314825e-06
2,50.0,X_MEM_PY,SC,circuit_level,0.007748765343401584,6.399160675243045e-06
2,50.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
2,50.0,TOTAL_MEM_PY,SC,circuit_level,0.007749396846658607,6.405464831365102e-06
3,50.0,X_MEM_PY,SC,circuit_level,0.010248463303186744,7.2439969091842925e-06
3,50.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
3,50.0,TOTAL_MEM_PY,SC,circuit_level,0.010248632957021121,7.481339309995906e-06
4,50.0,X_MEM_PY,SC,circuit_level,0.011910789238495976,6.002873216809036e-06
4,50.0,Z_MEM_PY,SC,circuit_level,0.00354,inf
4,50.0,TOTAL_MEM_PY,SC,circuit_level,0.011910420701677027,6.571753010400901e-06
5,50.0,X_MEM_PY,SC,circuit_level,0.013080217569491376,1.1207967754432988e-05
5,50.0,TOTAL_MEM_PY,SC,circuit_level,0.01308304685129548,1.148933872327759e-05
6,50.0,X_MEM_PY,SC,circuit_level,0.014049226756962064,8.418778119590433e-06
6,50.0,TOTAL_MEM_PY,SC,circuit_level,0.014052146198712485,8.266760068635934e-06
2,100.0,X_MEM_PY,SC,circuit_level,0.007728675309895983,6.085756704455594e-06
2,100.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
2,100.0,TOTAL_MEM_PY,SC,circuit_level,0.007730096624777829,6.124164287865531e-06
3,100.0,X_MEM_PY,SC,circuit_level,0.010263613837256507,7.212085896920156e-06
3,100.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
3,100.0,TOTAL_MEM_PY,SC,circuit_level,0.010263613837256507,7.212085896920156e-06
4,100.0,X_MEM_PY,SC,circuit_level,0.011953737446956225,5.814722943786904e-06
4,100.0,Z_MEM_PY,SC,circuit_level,0.00354,inf
4,100.0,TOTAL_MEM_PY,SC,circuit_level,0.011952733526003366,5.724712848800279e-06
5,100.0,X_MEM_PY,SC,circuit_level,0.013162790473330044,1.086318937251103e-05
5,100.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
5,100.0,TOTAL_MEM_PY,SC,circuit_level,0.013165334902135437,1.085593338728454e-05
6,100.0,X_MEM_PY,SC,circuit_level,0.014202195179004678,7.831329056240237e-06
6,100.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
6,100.0,TOTAL_MEM_PY,SC,circuit_level,0.014204120248606865,7.543614381708082e-06
2,500.0,X_MEM_PY,SC,circuit_level,0.007709522270046241,6.425351829749233e-06
2,500.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
2,500.0,TOTAL_MEM_PY,SC,circuit_level,0.007708825823750694,6.456491313239193e-06
3,500.0,X_MEM_PY,SC,circuit_level,0.010264898262856502,7.443479180539186e-06
3,500.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
3,500.0,TOTAL_MEM_PY,SC,circuit_level,0.010266231590148245,7.058771353798731e-06
4,500.0,X_MEM_PY,SC,circuit_level,0.011998147134218621,6.295787844548601e-06
4,500.0,Z_MEM_PY,SC,circuit_level,0.00354,inf
4,500.0,TOTAL_MEM_PY,SC,circuit_level,0.011999615962118128,6.3479675956196735e-06
5,500.0,X_MEM_PY,SC,circuit_level,0.013255050029643892,1.0895736429870373e-05
5,500.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
5,500.0,TOTAL_MEM_PY,SC,circuit_level,0.013253638355659752,1.1525298731168384e-05
6,500.0,X_MEM_PY,SC,circuit_level,0.014322872852353369,7.838735770544116e-06
6,500.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
6,500.0,TOTAL_MEM_PY,SC,circuit_level,0.014322715069749654,6.7667707829085625e-06
2,1000.0,X_MEM_PY,SC,circuit_level,0.007706005355531736,7.117061110846433e-06
2,1000.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
2,1000.0,TOTAL_MEM_PY,SC,circuit_level,0.007706346119645123,6.881889989182656e-06
3,1000.0,X_MEM_PY,SC,circuit_level,0.010262475856639933,7.74606522366485e-06
3,1000.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
3,1000.0,TOTAL_MEM_PY,SC,circuit_level,0.010261169509811674,8.05718737104772e-06
4,1000.0,X_MEM_PY,SC,circuit_level,0.011992328008192834,6.055973634322417e-06
4,1000.0,Z_MEM_PY,SC,circuit_level,0.00354,inf
4,1000.0,TOTAL_MEM_PY,SC,circuit_level,0.011992328008224131,6.055973860733538e-06
5,1000.0,X_MEM_PY,SC,circuit_level,0.013264167441192116,9.887130480148125e-06
5,1000.0,Z_MEM_PY,SC,circuit_level,0.00736,inf
5,1000.0,TOTAL_MEM_PY,SC,circuit_level,0.013264167441192116,9.887130480148125e-06
6,1000.0,X_MEM_PY,SC,circuit_level,0.01435452886879489,8.314471178388068e-06
6,1000.0,Z_MEM_PY,SC,circuit_level,0.00466,inf
6,1000.0,TOTAL_MEM_PY,SC,circuit_level,0.01435452886879489,8.314471178388068e-06
2,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.009469962474982965,4.810861020753968e-06
2,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.009458089610511687,5.298993191319303e-06
2,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.009458734689231993,3.869485855404342e-06
3,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.010001325250956688,1.2409323123305239e-05
3,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.007769875007092204,8.175361099314137e-06
3,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.008220043877049213,6.3367827074126635e-06
4,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.010052131708437472,6.229544168858507e-05
4,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.006612790758036159,1.1444404673890093e-05
4,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.006871071742054201,1.1563315124375314e-05
5,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.010982989579164796,1.478510715842432e-05
5,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0057555920052915965,1.8339867868432432e-05
5,0.5,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.005891153000272617,1.855980371737709e-05
6,0.5,X_MEM_PY,ZXXZonSqu,circuit_level,0.011470935042517205,0.0003260118402279604
6,0.5,Z_MEM_PY,ZXXZonSqu,circuit_level,0.005133558662551712,2.574693700235792e-05
